kernel_id,kernel_name,size_m,size_n,size_k,avg_time_s,gflops,status,notes
1,naive,128,128,128,0.000052,81.0,ok,
1,naive,256,256,256,0.000195,171.8,ok,
1,naive,512,512,512,0.001566,171.4,ok,
1,naive,1024,1024,1024,0.011185,192.0,ok,
1,naive,2048,2048,2048,0.087343,196.7,ok,
1,naive,4096,4096,4096,0.702931,195.5,ok,
2,global_mem_coalesce,128,128,128,0.000014,308.4,ok,
2,global_mem_coalesce,256,256,256,0.000029,1147.4,ok,
2,global_mem_coalesce,512,512,512,0.000213,1257.9,ok,
2,global_mem_coalesce,1024,1024,1024,0.001612,1332.0,ok,
2,global_mem_coalesce,2048,2048,2048,0.013175,1303.9,ok,
2,global_mem_coalesce,4096,4096,4096,0.109776,1252.0,ok,
3,shared_mem_blocking,128,128,128,0.000009,478.8,ok,
3,shared_mem_blocking,256,256,256,0.000021,1570.8,ok,
3,shared_mem_blocking,512,512,512,0.000162,1660.3,ok,
3,shared_mem_blocking,1024,1024,1024,0.001113,1928.8,ok,
3,shared_mem_blocking,2048,2048,2048,0.008748,1964.0,ok,
3,shared_mem_blocking,4096,4096,4096,0.078330,1754.6,ok,
13,shared_mem_b_only_experiment,128,128,128,0.000011,390.0,ok,experimental 3B kernel; only B is cached in shared memory
13,shared_mem_b_only_experiment,256,256,256,0.000031,1070.4,ok,experimental 3B kernel; only B is cached in shared memory
13,shared_mem_b_only_experiment,512,512,512,0.000223,1202.8,ok,experimental 3B kernel; only B is cached in shared memory
13,shared_mem_b_only_experiment,1024,1024,1024,0.001625,1321.8,ok,experimental 3B kernel; only B is cached in shared memory
13,shared_mem_b_only_experiment,2048,2048,2048,0.012848,1337.2,ok,experimental 3B kernel; only B is cached in shared memory
13,shared_mem_b_only_experiment,4096,4096,4096,0.115445,1190.5,ok,experimental 3B kernel; only B is cached in shared memory
4,1d_blocktiling,128,128,128,0.000011,378.6,ok,
4,1d_blocktiling,256,256,256,0.000020,1695.2,ok,
4,1d_blocktiling,512,512,512,0.000052,5117.0,ok,
4,1d_blocktiling,1024,1024,1024,0.000391,5495.4,ok,
4,1d_blocktiling,2048,2048,2048,0.002791,6156.5,ok,
4,1d_blocktiling,4096,4096,4096,0.024370,5639.7,ok,
5,2d_blocktiling,128,128,128,0.000025,167.3,ok,
5,2d_blocktiling,256,256,256,0.000046,733.6,ok,
5,2d_blocktiling,512,512,512,0.000080,3376.1,ok,
5,2d_blocktiling,1024,1024,1024,0.000263,8165.2,ok,
5,2d_blocktiling,2048,2048,2048,0.001905,9017.5,ok,
5,2d_blocktiling,4096,4096,4096,0.014350,9577.4,ok,
6,vectorized_mem_access,128,128,128,0.000019,216.9,ok,
6,vectorized_mem_access,256,256,256,0.000035,947.2,ok,
6,vectorized_mem_access,512,512,512,0.000065,4125.2,ok,
6,vectorized_mem_access,1024,1024,1024,0.000183,11726.6,ok,
6,vectorized_mem_access,2048,2048,2048,0.001530,11231.3,ok,
6,vectorized_mem_access,4096,4096,4096,0.011253,12213.1,ok,
7,resolve_bank_conflicts,128,128,128,0.000021,195.2,ok,
7,resolve_bank_conflicts,256,256,256,0.000039,871.3,ok,
7,resolve_bank_conflicts,512,512,512,0.000071,3800.8,ok,
7,resolve_bank_conflicts,1024,1024,1024,0.000234,9173.4,ok,
7,resolve_bank_conflicts,2048,2048,2048,0.001706,10068.2,ok,
