record_type,config_index,num_threads,bm,bn,bk,wm,wn,wniter,tm,tn,shape_type,size_m,size_n,size_k,kernel_time_s,kernel_gflops,cublas_time_s,cublas_gflops,relative_to_cublas,status
phase1_baseline,1,128,128,128,16,64,64,4,8,4,square,128,128,128,0.000025,170.3,,,,ok
phase1_baseline,1,128,128,128,16,64,64,4,8,4,square,256,256,256,0.000038,890.3,,,,ok
phase1_baseline,1,128,128,128,16,64,64,4,8,4,square,512,512,512,0.000075,3566.6,,,,ok
phase1_baseline,1,128,128,128,16,64,64,4,8,4,square,1024,1024,1024,0.000187,11482.7,,,,ok
phase1_baseline,1,128,128,128,16,64,64,4,8,4,square,2048,2048,2048,0.001374,12506.5,,,,ok
phase1_baseline,1,128,128,128,16,64,64,4,8,4,square,4096,4096,4096,0.009632,14268.3,,,,ok
phase3_tuning,1,128,128,128,16,64,64,4,8,4,square,128,128,128,2.3e-05,182.0,1.8e-05,231.1,0.7875378623972307,ok
phase3_tuning,1,128,128,128,16,64,64,4,8,4,square,256,256,256,3.9e-05,863.7,1.9e-05,1812.1,0.4766293250924342,ok
phase3_tuning,1,128,128,128,16,64,64,4,8,4,square,512,512,512,6.7e-05,4024.1,3e-05,9056.0,0.444357332155477,ok
phase3_tuning,1,128,128,128,16,64,64,4,8,4,square,1024,1024,1024,0.000177,12145.0,0.000153,14040.9,0.8649730430385517,ok
phase3_tuning,1,128,128,128,16,64,64,4,8,4,square,2048,2048,2048,0.001266,13566.9,0.001082,15878.4,0.8544248790810157,ok
phase3_tuning,1,128,128,128,16,64,64,4,8,4,square,4096,4096,4096,0.009103,15097.7,0.008428,16306.7,0.9258586961187733,ok
phase3_tuning,2,128,128,128,8,32,128,2,8,4,square,128,128,128,2.1e-05,197.3,1.8e-05,231.1,0.853742968411943,ok
phase3_tuning,2,128,128,128,8,32,128,2,8,4,square,256,256,256,3.5e-05,946.9,1.9e-05,1812.1,0.522542906020639,ok
phase3_tuning,2,128,128,128,8,32,128,2,8,4,square,512,512,512,6.4e-05,4189.7,3e-05,9056.0,0.4626435512367491,ok
phase3_tuning,2,128,128,128,8,32,128,2,8,4,square,1024,1024,1024,0.000186,11566.4,0.000153,14040.9,0.8237648583780242,ok
phase3_tuning,2,128,128,128,8,32,128,2,8,4,square,2048,2048,2048,0.001309,13124.1,0.001082,15878.4,0.8265379383313181,ok
phase3_tuning,2,128,128,128,8,32,128,2,8,4,square,4096,4096,4096,0.009594,14325.5,0.008428,16306.7,0.8785039278333445,ok
phase3_tuning,3,128,128,128,32,64,64,1,8,8,square,128,128,128,2.1e-05,196.4,1.8e-05,231.1,0.8498485504110775,ok
phase3_tuning,3,128,128,128,32,64,64,1,8,8,square,256,256,256,3.8e-05,890.2,1.9e-05,1812.1,0.4912532420948072,ok
phase3_tuning,3,128,128,128,32,64,64,1,8,8,square,512,512,512,6.8e-05,3937.9,3e-05,9056.0,0.4348387809187279,ok
phase3_tuning,3,128,128,128,32,64,64,1,8,8,square,1024,1024,1024,0.000198,10851.7,0.000153,14040.9,0.7728635628770236,ok
phase3_tuning,3,128,128,128,32,64,64,1,8,8,square,2048,2048,2048,0.001345,12777.9,0.001082,15878.4,0.8047347339782346,ok
phase3_tuning,3,128,128,128,32,64,64,1,8,8,square,4096,4096,4096,0.009867,13929.8,0.008428,16306.7,0.8542378286225907,ok
phase3_tuning,4,128,128,256,8,128,64,4,4,8,square,128,128,128,0.000255,16.5,1.8e-05,231.1,0.07139766334919949,ok
phase3_tuning,4,128,128,256,8,128,64,4,4,8,square,256,256,256,0.000881,38.1,1.9e-05,1812.1,0.02102532972793996,ok
phase3_tuning,4,128,128,256,8,128,64,4,4,8,square,512,512,512,0.001752,153.2,3e-05,9056.0,0.016916961130742047,ok
phase3_tuning,4,128,128,256,8,128,64,4,4,8,square,1024,1024,1024,0.004296,499.9,0.000153,14040.9,0.03560313085343532,ok
phase3_tuning,4,128,128,256,8,128,64,4,4,8,square,2048,2048,2048,0.033815,508.1,0.001082,15878.4,0.03199944578798872,ok
phase3_tuning,4,128,128,256,8,128,64,4,4,8,square,4096,4096,4096,0.268756,511.4,0.008428,16306.7,0.03136134227035513,ok
phase3_tuning,5,128,128,128,16,32,128,4,8,4,square,128,128,128,2.4e-05,178.1,1.8e-05,231.1,0.7706620510601471,ok
phase3_tuning,5,128,128,128,16,32,128,4,8,4,square,256,256,256,3.8e-05,886.0,1.9e-05,1812.1,0.4889354892114122,ok
phase3_tuning,5,128,128,128,16,32,128,4,8,4,square,512,512,512,6.6e-05,4073.8,3e-05,9056.0,0.449845406360424,ok
phase3_tuning,5,128,128,128,16,32,128,4,8,4,square,1024,1024,1024,0.000176,12169.4,0.000153,14040.9,0.8667108233802676,ok
phase3_tuning,5,128,128,128,16,32,128,4,8,4,square,2048,2048,2048,0.001248,13762.3,0.001082,15878.4,0.8667309048770657,ok
phase3_tuning,5,128,128,128,16,32,128,4,8,4,square,4096,4096,4096,0.009148,15023.1,0.008428,16306.7,0.9212838894442161,ok
phase3_tuning,6,256,128,128,8,64,32,2,8,4,square,128,128,128,2.1e-05,198.4,1.8e-05,231.1,0.8585028126352229,ok
phase3_tuning,6,256,128,128,8,64,32,2,8,4,square,256,256,256,3.3e-05,1012.2,1.9e-05,1812.1,0.5585784448981845,ok
phase3_tuning,6,256,128,128,8,64,32,2,8,4,square,512,512,512,7.1e-05,3792.1,3e-05,9056.0,0.4187389575971731,ok
phase3_tuning,6,256,128,128,8,64,32,2,8,4,square,1024,1024,1024,0.000185,11631.3,0.000153,14040.9,0.8283870692049654,ok
phase3_tuning,6,256,128,128,8,64,32,2,8,4,square,2048,2048,2048,0.001414,12146.8,0.001082,15878.4,0.7649889157597742,ok
phase3_tuning,6,256,128,128,8,64,32,2,8,4,square,4096,4096,4096,0.011332,12128.1,0.008428,16306.7,0.7437495017385491,ok
phase3_tuning,7,128,64,256,8,64,64,2,4,8,square,128,128,128,3.7e-05,112.2,1.8e-05,231.1,0.4855041107745565,ok
phase3_tuning,7,128,64,256,8,64,64,2,4,8,square,256,256,256,3.7e-05,904.9,1.9e-05,1812.1,0.4993653771866895,ok
phase3_tuning,7,128,64,256,8,64,64,2,4,8,square,512,512,512,6.6e-05,4058.3,3e-05,9056.0,0.4481338339222615,ok
phase3_tuning,7,128,64,256,8,64,64,2,4,8,square,1024,1024,1024,0.000221,9732.5,0.000153,14040.9,0.6931535727766739,ok
phase3_tuning,7,128,64,256,8,64,64,2,4,8,square,2048,2048,2048,0.001496,11485.0,0.001082,15878.4,0.7233096533655784,ok
phase3_tuning,7,128,64,256,8,64,64,2,4,8,square,4096,4096,4096,0.010135,13561.0,0.008428,16306.7,0.8316213580920725,ok
