num_threads,bm,bn,bk,wm,wn,wniter,tm,tn
128,128,128,16,64,64,4,8,4
128,128,128,8,32,128,2,8,4
128,128,128,32,64,64,1,8,8
128,128,256,8,128,64,4,4,8
128,128,128,16,32,128,4,8,4
256,128,128,8,64,32,2,8,4
128,64,256,8,64,64,2,4,8
256,64,128,16,32,32,2,4,4
256,128,256,8,64,64,1,8,4
128,64,128,32,32,64,4,4,4
256,128,64,32,32,32,1,4,4
128,128,128,16,64,64,1,8,8
256,128,128,32,32,64,2,8,4
256,128,256,32,32,128,4,8,4
128,128,128,32,128,32,1,8,4
128,64,128,32,32,64,2,4,4
256,64,256,32,32,64,1,4,8
256,128,256,32,128,32,4,4,8
128,128,256,32,64,128,4,8,4
256,128,256,16,128,32,2,4,4
128,128,128,16,128,32,2,4,8
128,128,256,16,128,64,1,4,4
128,128,256,16,64,128,1,8,8
256,128,256,32,32,128,4,4,8
128,128,256,32,128,64,1,4,4
128,64,256,16,32,128,4,4,4
256,128,128,16,32,64,2,4,8
256,128,128,32,32,64,2,4,8
256,128,64,32,32,32,1,8,4
128,128,128,32,128,32,1,4,8
128,64,256,32,32,128,4,4,8
128,128,128,32,128,32,4,4,4
128,128,64,8,64,32,2,8,4
128,64,128,8,64,32,2,4,4
128,128,256,32,64,128,2,8,4
128,64,256,32,32,128,4,4,4
128,64,128,16,64,32,4,4,4
256,128,128,16,64,32,2,4,8
128,128,256,8,128,64,1,4,4
128,128,128,32,32,128,4,8,4
128,128,256,8,64,128,1,4,4
128,128,128,32,128,32,2,4,4
128,128,256,32,64,128,1,4,4
128,128,64,8,32,64,4,4,4
128,128,256,16,64,128,4,4,8
128,128,256,8,128,64,2,8,4
128,128,256,16,64,128,4,8,8
128,128,64,16,64,32,2,8,4
